Site,Type,Proxy,Reference,DOI,Lon0Ma,Lat0Ma,Lon56Ma,Lat56Ma,Lon56MaShift,Lat56MaShift,DepthOriginal,Depth,SourcePaleodepth,SourceDOI,Mask,Assessment,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,mg_bcp_red,Glassy,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x
ODP 1262,caco3,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,1.577,-27.185833,-17.933,-34.095833,-17.933,-33,3600,3600,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,this study,88,1.8,7,0.7,0.1,9,,,,,,,
ODP 1263,caco3,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,2.7795,-28.533,-16.7305,-35.443,-16.7305,-35.443,1500,1500,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,"Panchunk et al., 2008",88,,,1,,,,,,,,,
ODP 1265,caco3,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,2.64,-28.84,-16.87,-35.75,-16.87,-38,1850,1850,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,this study,89,3.4,16,32.3,3.3,2,,,,,,,
ODP 1266,caco3,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,2.34,-28.54,-17.17,-35.45,-21,-35.45,2600,2600,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,Walvis,this study,82.8,1.8,9,0.6,0.3,4,,,,,,,
ODP 1267,caco3,caco3,"Zachos et al., 2005",https://doi.org/10.1126/science.1109004,1.71,-28.1,-17.8,-35.01,-22,-35.01,3200,3200,"Panchuk et al., 2008",http://dx.doi.org/10.1130/G24474A.1,Walvis,this study,83.2,3.2,9,1.3,0.4,4,,,,,,,
ODP 689,caco3,caco3,"Shipboard Scientific Party, 1988",http://dx.doi.org/10.2973/odp.proc.ir.113.106.1988,3.1,-64.52,-5.85,-70.8,-5.85,-70.8,1100,1100,"Thomas & Shackleton, 1996",https://doi.org/10.1144/gsl.sp.1996.101.01.20,Southern,"Panchunk et al., 2008",91,1.9,4,,,,,,,,,,
ODP 690,caco3,caco3,"Thomas et al., 1999",http://dx.doi.org/10.1029/1999PA900031,1.2,-65.16,-8.55,-70.75,-11,-70.75,1900,1900,"Thomas & Shackleton, 1996",https://doi.org/10.1144/gsl.sp.1996.101.01.20,Southern,"Panchunk et al., 2008",84,,,60,,,,,,,,,
ODP 738,caco3,caco3,"Barron et al., 1989",https://doi.org/10.2973/odp.proc.ir.119.1989,82.79,-62.71,79.4,-62.2,81,-62.2,1350,1350,"Barrera & Huber, 1991",http://doi.org/10.2973/odp.proc.sr.119.167.1991,Indian,"Panchunk et al., 2008",90,,,70,,,,,,,,,
ODP 766,caco3,caco3,"Ludden et al., 1990",https://doi.org/10.2973/odp.proc.ir.123.105.1990,110.4541,-19.932,89,-42.7,91,-40,3476,3476,"Ludden et al., 1990",http://doi.org/10.2973/odp.proc.ir.123.105.1990,Indian,"Panchunk et al., 2008",93,,,,,,,,,,,,
ODP 865,caco3,caco3,"Shipboard Scientific Party, 1995; Thomas et al., 1999",http://dx.doi.org/10.2973/odp.proc.ir.143.106.1993; http://dx.doi.org/10.1029/1999PA900031,-179.55,18.43,-138.05,10.35,-138.05,10.35,1500,1500,"Bralower et al., 1995",http://doi.org/10.1029/95PA01143,Pacific,"Panchunk et al., 2008",96,,,93,,,,,,,,,
ODP 959,caco3,caco3,"Frieling et al., 2018",http://dx.doi.org/10.5194/cp-14-39-2018,-2.73583,3.6275,-15.63583,-3.5225,-15.63583,-3,1000,1000,"Frieling et al., 2018",http://doi.org/10.5194/cp-14-39-2018,SouthAtlanticMargin,this study,5.1,7.4,63,0.5,0.4,11,,,,,,,
ODP 999,caco3,caco3,"Bralower et al., 1997",http://dx.doi.org/10.1130/0091-7613(1997)025<0963:HRROTL>2.3.CO;2,-78.73,12.75,-87.45,9.6,-87.45,-10,1750,1750,"Thomas et al., 1999",http://dx.doi.org/10.1029/1999PA900031,Caribbean,"Panchunk et al., 2008",61,,,0,,,,,,,,,
Alamedilla,caco3,caco3,"Lu et al., 1996",http://doi.org/10.1111/j.1365-3121.1996.tb00567.x,-2.766666667,37.58333333,-11.55,32.7,-9,32.7,1000-2000,1500,"Lu et al., 1996",https://doi.org/10.1111/j.1365-3121.1996.tb00567.x,Tethyan ,this study,73.52,5.45344976,8,24.002,13.88556157,5,,,,,,,
Bass River,caco3,caco3,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-74.43,39.6,-57.78841,39.6,-57.78841,39.6,140-150,145,"Stassen et al., 2015", https://doi.org/10.1016/j.marmicro.2014.12.001,NorthAtlantic,"Bralower et al., 2018",7.17,,,1.33,,,,,,,,,
Cam-Dor,caco3,caco3,"Bralower et al., 2018",https://doi.org/10.1029/2018PA003382,-76.028202,38.533587,-59.386612,38.533587,-59.386612,37.5,120-130,125,"Robinson & Spivey, 2019",https://doi.org/10.1029/2018PA003357,NorthAtlantic,"Bralower et al., 2018",8.16,,,0.01,,,,,,,,,
Dababiya,caco3,caco3,"Khozyem et al., 2015",https://doi.org/10.1016/j.palaeo.2015.04.003,32.52,25.5,22.85,23,21,21,150-175,162.5,Dupuis et al. 2003,http://doi.org/10.2113/49.Suppl_1.41,Tethyan ,this study,43.39354264,6.314783501,26,1.318800889,1.520369728,10,,,,,,,
Dzhengutay,caco3,caco3,Gavrilov et al 2009,https://www.academia.edu/download/35226154/2009_Gavr_Scherb_Golov_Pokr_NZ.pdf,47.24,42.69,44.35,42.69,44.35,41,280,280,"this study, based on cGENIE topo",,Tethyan ,this study,22.74798648,14.27282676,6,15.16008472,8.210206296,8,,,,,,,
Forada,caco3,caco3,Giusberti et al 2007,https://doi.org/10.1130/B25994.1,12.02,46.04,10.05,40,10.05,40,600-1000,1000,Giusberti et al 2007,https://doi.org/10.1130/B25994.1,Tethyan ,this study,50.21428571,6.782880843,14,13.02,6.818504235,5,,,,,,,
Gebel Qreiya,caco3,caco3,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,33.006,26.52,22.85,23.52,22.85,23.52,200-300,250,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,Tethyan ,this study,55.12,28.59,3,,,,,,,,,,
Howards Tract,caco3,caco3,"Li et al., 2022",https://doi.org/10.1038/s41467-022-33390-x,-76.14159,38.44827,-59.5,38.44827,-59.5,37.5,120-140,130,"Robinson & Spivey, 2019",https://doi.org/10.1029/2018PA003357,NorthAtlantic,this study,5.435897436,1.155278668,13,0.393777777,0.162931108,6,,,,,,,
IODP U1403,caco3,caco3,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,-51.80333,39.943328,-41,37.5,-41,37.5,4374,4374,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,NorthAtlantic,this study,0.4,0.1,15,0.3,0.1,5,,,,,,,
IODP U1409,caco3,caco3,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,-49.233087,41.295737,-39,38,-39,37.5,2913,2913,"Penman et al., 2016",https://doi.org/10.1038/ngeo2757,NorthAtlantic,this study,54.4,4.9,43,43.115,1.011162697,2,,,,,,,
Kheu,caco3,caco3,Gavrilov et al 2003,https://doi.org/10.1130/0-8137-2369-8.147,43.63,43.4,41.75,43.4,41.75,43.4,280,280,"this study, based on cGENIE topo",,Tethyan ,this study,12.99153402,0,1,1.069806475,0.762923554,2,,,,,,,
Mead Stream,caco3,caco3,Slotnick et al. 2012,https://doi.org/10.1086/666743,173.6,-41.9,-169,-47,-169,-47,200-1000,600,"Hollis et al., 2005",https://doi.org/10.1016/j.palaeo.2004.09.011,Pacific,"Bralower et al., 2018",62.2,,,36.81,,,,,,,,,
mid-Waipara,caco3,caco3,"Hollis et al., 2012",https://doi.org/10.1016/j.epsl.2012.06.024,172.75,-43.06666667,-169.58,-48.75,-171,-48.75,500,500,"Hollis et al., 2012",https://doi.org/10.1016/j.epsl.2012.06.024,Pacific,this study,0,0,10,0.2,0.1,2,,,,,,,
Millville,caco3,caco3,"Wright & Schaller, 2013",https://doi.org/10.1073/pnas.1309188110,-75,39.4,-58.35841,39.4,-58.35841,39.4,100-110,105,"Stassen et al., 2015", https://doi.org/10.1016/j.marmicro.2014.12.001,NorthAtlantic,"Bralower et al., 2018",3.6,,,0.3,,,,,,,,,
Mine,caco3,caco3,"Kaya et al., 2022",https://doi.org/10.1038/s43247-022-00451-4,74.50206667,39.84766667,59.85,39.84766667,59.85,43,80,80,"this study, based on cGENIE topography",,Tethyan ,this study,10.91603449,2.096278754,4,7.148252194,4.047335348,7,,,,,,,
South Dover Bridge,caco3,caco3,"Self-Trail et al., 2012",https://doi.org/10.1016/j.marmicro.2012.05.003,-76.00694444,38.74694444,-59.36535444,38.74694444,-59.36535444,37.5,120-130,125,"Robinson & Spivey, 2019",https://doi.org/10.1029/2018PA003357,NorthAtlantic,"Bralower et al., 2018",16.57,,,0,,,,,,,,,
Sulak River,caco3,caco3,Gavrilov et al 2003,https://doi.org/10.1130/0-8137-2369-8.147,46.857568,42.856151,44.35,42.856151,39,42.856151,280,280,"this study, based on cGENIE topo",,Tethyan ,this study,49.160182,8.803752705,3,2.425167031,0.063054283,3,,,,,,,
Tanzania TDP14,caco3,caco3,"Aze et al., 2014",http://doi.org/10.1130/G35637.1,39.5,-9.27,29,-16,31,-17,300-500,400,"Nicholas et al., 2006",https://doi.org/10.1016/j.jafrearsci.2006.04.003,Indian,this study,6.7,5.3,26,1.147,2.033,17,,,,,,,
Tawanui,caco3,caco3,"Crouch et al., 2003",https://doi.org/10.1016/S0031-0182(03)00334-1,176.38,-40.38,-165.95,-46.95,-165.95,-45,500-1000,750,"Kaiho et al., 1993",https://doi.org/10.1016/0377-8398(93)90053-Z,Pacific,this study,12.6,5,6,9.6,0.4,2,,,,,,,
Torangly,caco3,caco3,Gavrilov et al 2003,https://doi.org/10.1130/0-8137-2369-8.147,58.42,38.13,55.55,38.13,55.55,38.13,80,80,"this study, based on cGENIE topo",,Tethyan ,this study,20.85986236,2.29335632,2,1.342352149,0.932677239,2,,,,,,,
Trabakua Pass,caco3,caco3,"Bolle, 1998",http://doi.org/10.5169/seals-168405,-2.48,43.3,-10.58,37.8,-7,37.8,600-1500,1000,"this study, use nearby Zumaya paleodepth",,Tethyan ,this study,45.83,9.060679,11,9.7,1.481992,3,,,,,,,
Wadi Nukhl,caco3,caco3,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,33.359,29.039,22.55,26.039,22.55,27,>500,500,"Speijer & Wagner, 2002",https://doi.org/10.1130/0-8137-2356-6.533,Tethyan ,this study,51.5,5.6,8,36.49,0,1,,,,,,,
Wilson Lake,caco3,caco3,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-75.0472,39.65978333,-58.40561,39.65978333,-58.40561,39.65978333,100-110,105,"Stassen et al., 2015", https://doi.org/10.1016/j.marmicro.2014.12.001,NorthAtlantic,"Bralower et al., 2018",3.51,,,0,,,,,,,,,
