Site,DepthOri,Depth,SourcePaleodepth,,Mask,assessment,Type,File,doi,lonbci,latbci,Proxy,lon0,lat0,lonb,latb,lonh,lath,lonbc,latbc,deepMIPprePETM,deepMIPprePETMstd,deepMIPprePETMn,deepMIPPETM,deepMIPPETMstd,deepMIPPETMn,,prePETMmean,prePETMstd,prePETMn,peakPETM,peakPETMstd,peakPETMn,PETMmean,PETMstd,PETMn,postPETMmean,postPETMstd,postPETMn,Glassy,mg_bcp_red,d18osw_local,d18osw_1x,d18osw_3x,d18osw_6x,d18osw_9x,JESS NOTES
Nigeria SQ,,,,,,deepMIP,d18O,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-10.1,-0.346,d18o_morozovella,3.583333333,6.833333333,3.95,-7.15,-10.1,-0.45,-0.1,-9.6,-3.77,0.12,12,,,,,-3.774,0.124,12,,,,nan,nan,0,nan,nan,0,glassy,,-0.29589,-0.8146,-0.3713,-0.1102,-0.1003,
Nigeria SQ,,,,,,deepMIP,d18O,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-10.1,-0.346,d18o_acarinina,3.583333333,6.833333333,3.95,-7.15,-10.1,-0.45,-0.1,-9.6,-3.4,0.23,12,,,,,-3.397,0.233,12,,,,nan,nan,0,nan,nan,0,glassy,,-0.29589,-0.8146,-0.3713,-0.1102,-0.1003,
Nigeria SQ,,200,,,,deepMIP,MgCa,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-10.1,-0.346,mgca_morozovella:reductive,3.583333333,6.833333333,3.95,-7.15,-10.1,-0.45,-0.1,-9.6,4.65,0.36,10,,,,,4.646,0.364,10,,,,nan,nan,0,nan,nan,0,,mg_red,nan,nan,nan,nan,nan,
Nigeria SQ,,200,,,,deepMIP,MgCa,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-10.1,-0.346,mgca_acarinina:reductive,3.583333333,6.833333333,3.95,-7.15,-10.1,-0.45,-0.1,-9.6,4.2,0.21,10,,,,,4.205,0.509,10,,,,nan,nan,0,nan,nan,0,,mg_red,nan,nan,nan,nan,nan,
Nigeria SQ,,,,,,deepMIP,TEX86,"Frieling et al., 2017",https://doi.org/10.1126/sciadv.160089,-10.1,-0.346,tex86,3.583333333,6.833333333,3.95,-7.15,-10.1,-0.45,-0.1,-9.6,0.844,0.018,7,,,,,0.844,0.018,7,,,,nan,nan,0,nan,nan,0,,,nan,nan,nan,nan,nan,
Tanzania TDP14,,,,,,deepMIP,d18O,"Aze et al., 2014",https://doi.org/10.1130/G35637.1,29,-16,d18o_morozovella,39.5,-9.27,39.75,-24.65,23.2,-24.65,35,-16,-3.36,0.26,9,-3.8,0.52,20,,-3.437,0.387,28,-3.75,,1,-3.677,0.064,3,-4.03375,0.435822293,8,glassy,,-0.05308,-0.8733,-0.5492,-0.6582,-0.9457,
Tanzania TDP14,,,,,,deepMIP,d18O,"Aze et al., 2014",https://doi.org/10.1130/G35637.1,29,-16,d18o_a.soldadoensis,39.5,-9.27,39.75,-24.65,23.2,-24.65,35,-16,-3.28,0.39,5,-3.62,0.33,10,,-3.132,0.466,13,-4.087,,1,-4.14,0,1,-3.76,0.272396769,5,glassy,,-0.05308,-0.8733,-0.5492,-0.6582,-0.9457,
Tumey Gulch,,,,,,deepMIP,d18O,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-111,42.25,d18o_acarinina,-120.63,36.53,-92.55,44.05,-110.01,42.25,-110.01,42.25,-3.19,0.16,2,,,,,nan,nan,0,-3.3,,1,-2.843,0.433,4,-2.48,0,1,glassy,,-0.5982,-1.772,-0.6232,-2.0247,-2.2973,
Tumey Gulch,,,,,,deepMIP,d18O,"John et al., 2008",https://doi.org/10.1029/2007PA001465,-111,42.25,d18o_morozovella,-120.63,36.53,-92.55,44.05,-110.01,42.25,-110.01,42.25,-3.23,0.14,4,,,,,nan,nan,0,-3.265,,2,-3.112,0.188,7,-2.375,0.6293,2,glassy,,-0.5982,-1.772,-0.6232,-2.0247,-2.2973,
mid-Waipara,,,,,,deepMIP,TEX86,"Hollis et al., 2012",https://doi.org/10.1016/j.epsl.2012.06.024,-161,-48.75,tex86,172.75,-43.06666667,-157.15,-48.75,179.15,-54.85,-161,-48.75,,,,0.836,0.03,2,,nan,nan,0,0.857,,1,0.836,0.03,2,nan,nan,0,,,nan,nan,nan,nan,nan,
